PreTest
Block #, Plank Width
1,0.5799997
2,1.01
PreTest
Block #, Plank Width
1,1.009999
PreTest
Block #, Plank Width
1,0.4399999
2,0.9300001
MainTrials
Block #, Plank Width, Fall?
1,0.5899996, Yes
2,1.005, Yes
MainTrials
Block #, Plank Width, Fall?
1,0.6649995, No
MainTrials
Block #, Plank Width, Fall?
1,0.6399996, No
MainTrials
Block #, Plank Width, Fall?
1,0.7199995, No
MainTrials
Block #, Plank Width, Fall?
1,0.6149996, Yes
MainTrials
Block #, Plank Width, Fall?
1,0.5949996, Yes
2,1, No
